id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24607871,NEW SUITE / REFORMA / INCREDIBLE LOCATED!!,185964537,Carlos,,Cuauhtémoc,19.43326,-99.16839,Entire home/apt,850,3,79,2020-03-03,1.78,1,76,0,
24608395,Chihuahua,162501288,Benjamín,,Cuauhtémoc,19.4174,-99.15407,Private room,500,3,1,2018-06-16,0.02,1,364,0,
24621210,Departamento moderno en Polanco N8,180691985,Susy,,Miguel Hidalgo,19.4324,-99.19217,Entire home/apt,800,1,218,2021-12-03,4.91,3,221,49,
24626639,Hermoso y Nuevo Departamento en Casa Tradicional,64355025,Dario,,Azcapotzalco,19.46542,-99.1823,Entire home/apt,700,1,5,2020-10-11,0.12,4,90,0,
24633087,Hermoso penthouse en la Ciudad de México,186157246,Marthacecilia,,Benito Juárez,19.38542,-99.15266,Entire home/apt,1000,1,37,2019-07-21,0.84,1,254,0,
24634551,5 min to CDMX (MEX) airport 6,10644799,Benito,,Venustiano Carranza,19.43896,-99.08681,Private room,412,1,7,2021-11-21,0.31,6,357,3,
24635423,Private room and bathroom in heart of Condesa,45250899,Fer,,Cuauhtémoc,19.4048,-99.16987,Private room,722,3,4,2020-03-04,0.10,2,83,0,
24644995,"Habitación en renta, Chapultepec, súper ubicado!",73866904,Gerardo,,Cuauhtémoc,19.4163,-99.17697,Private room,950,2,0,,,1,0,0,
24645874,Luxury Pent House in Polanco,186253751,Gabriela,,Miguel Hidalgo,19.43664,-99.20037,Entire home/apt,2269,3,50,2021-11-18,1.22,1,174,7,
24649273,"King size bed , private bathroom.",186278266,Torben,,Cuauhtémoc,19.41526,-99.159,Private room,475,3,4,2021-11-05,0.09,1,90,1,
24650481,Be Grand Coyocán,178802435,Olga,,Coyoacán,19.31555,-99.1414,Private room,320,1,18,2021-12-01,0.41,1,87,3,
24653738,“Luxury Apartment” 3 Bedroom 2 Bathroom,182717861,Teresa,,Benito Juárez,19.36888,-99.16832,Entire home/apt,2475,3,9,2021-11-29,0.20,1,356,2,
24654866,"Flat close to Reforma, Bellas Artes and Downtown",33904655,Juan,,Cuauhtémoc,19.43749,-99.1477,Entire home/apt,730,1,191,2021-12-06,4.50,1,64,55,
24657749,Cozy loft REFORMA great location & view US embassy,5652715,Lydia,,Cuauhtémoc,19.43199,-99.16308,Entire home/apt,1500,4,27,2020-11-26,0.61,2,21,0,
24666291,BIENVENIDO,164625079,Susana,,Miguel Hidalgo,19.43907,-99.21199,Private room,500,1,29,2019-03-30,0.65,1,0,0,
24669563,Spacious Roma Norte Apartment with Private Terrace and Grill,146882270,Carlos M,,Cuauhtémoc,19.42283,-99.16015,Entire home/apt,3403,1,130,2021-12-12,3.08,2,315,18,
24671605,Oasis en el sur de la Ciudad de México,57787153,Pao,,Álvaro Obregón,19.3318,-99.2268,Entire home/apt,700,3,1,2020-09-30,0.07,2,122,0,
24671857,"SANTA FE - Stylish, Comfortable & Nice Location!!",26491438,Rick,,Álvaro Obregón,19.3786,-99.25488,Entire home/apt,1600,3,68,2021-12-05,1.56,3,11,18,
24674363,LUMA BEAUTIFUL CONDESA,185895449,Lourdes,,Cuauhtémoc,19.41502,-99.17295,Entire home/apt,887,90,20,2019-02-12,0.45,2,268,0,
24677039,Apartamento Paseo de la Reforma - Garibaldi Subway,186472850,Alan,,Cuauhtémoc,19.44217,-99.14096,Entire home/apt,850,2,15,2019-11-27,0.34,1,242,0,
24677182,Suites Delva,177049172,Karla,,Cuauhtémoc,19.43424,-99.16746,Entire home/apt,600,365,0,,,1,364,0,
24678004,Comfortable Sunny & Pet Friendly Apartment in Roma,6529931,Enrico,,Cuauhtémoc,19.41755,-99.1623,Entire home/apt,1579,1,112,2021-12-13,2.52,10,118,41,
24693605,Great / fully equipped apartment in Santa Fe.,186621183,Rene,,Cuajimalpa de Morelos,19.36039,-99.26954,Entire home/apt,2474,3,7,2019-03-05,0.16,1,270,0,
24699692,"CULIACÁN · Feel at home ""Classy Culiacán""",72969330,The Local Way,,Cuauhtémoc,19.403959,-99.170319,Entire home/apt,2166,1,31,2021-11-29,0.71,18,357,10,
24700809,Estudio acogedor por metro nativitas -Gay friendly,107951553,Magda,,Benito Juárez,19.38074,-99.14764,Private room,300,3,66,2021-12-14,1.50,2,333,20,
24706133,Departamento San Jerónimo junto Hosp Angeles Pedre,110468226,Maria Gabriela,,La Magdalena Contreras,19.31712,-99.22264,Private room,1820,2,3,2019-10-29,0.08,3,178,0,
24711323,One bedroom in Coyoacan.,3804895,Issa,,Coyoacán,19.35649,-99.16498,Entire home/apt,850,1,0,,,1,177,0,
24716487,DEPARTAMENTO MODERNO Y MINIMALISTA,117315390,Sofia,,Cuauhtémoc,19.4083,-99.16655,Entire home/apt,380,8,46,2021-11-30,1.14,1,24,19,
